dataset,bootstrap,bootstrap_features,max_features,max_samples,n_estimators,accuracy,f1_score
c1000_d100,FALSE,TRUE,0.6,0.8,20,0.9095,0.9126
c1000_d1000,TRUE,TRUE,0.6,0.8,25,0.9525,0.9531
c1000_d5000,FALSE,FALSE,0.6,0.6,25,0.9786,0.9786
c1500_d100,TRUE,TRUE,0.8,0.6,25,0.9899,0.99
c1500_d1000,FALSE,TRUE,0.6,0.6,20,0.994,0.994
c1500_d5000,FALSE,TRUE,0.6,0.6,25,0.9981,0.9981
c1800_d100,TRUE,TRUE,0.6,0.6,20,0.9849,0.9848
c1800_d1000,TRUE,TRUE,0.6,0.6,20,0.996,0.996
c1800_d5000,TRUE,TRUE,0.6,0.8,25,0.9998,0.9998
c300_d100,FALSE,TRUE,0.6,0.8,25,0.7638,0.7638
c300_d1000,FALSE,FALSE,0.6,0.8,25,0.8379,0.8396
c300_d5000,FALSE,FALSE,0.8,0.8,25,0.9118,0.9142
c500_d100,FALSE,FALSE,0.8,0.6,25,0.7789,0.7864
c500_d1000,TRUE,TRUE,0.6,0.6,25,0.8674,0.8682
c500_d5000,FALSE,FALSE,0.6,0.8,25,0.926,0.9269
