dataset,learning_rate,loss,max_features,n_estimators,accuracy,f1_score
c1000_d100,0.1,exponential,log2,200,0.995,0.9949
c1000_d1000,0.1,deviance,log2,200,0.9935,0.9935
c1000_d5000,0.1,deviance,auto,200,0.9997,0.9997
c1500_d100,0.1,deviance,sqrt,50,1,1
c1500_d1000,0.1,deviance,auto,200,1,1
c1500_d5000,0.1,deviance,auto,200,1,1
c1800_d100,0.1,deviance,auto,50,0.9899,0.9899
c1800_d1000,0.1,deviance,auto,50,0.998,0.998
c1800_d5000,0.1,deviance,auto,100,0.9999,0.9999
c300_d100,0.1,exponential,log2,200,0.8241,0.8205
c300_d1000,0.1,deviance,auto,200,0.9895,0.9896
c300_d5000,0.1,deviance,auto,200,0.994,0.994
c500_d100,0.1,deviance,log2,200,0.9146,0.9146
c500_d1000,0.1,deviance,auto,200,0.9945,0.9945
c500_d5000,0.1,deviance,auto,200,0.997,0.997
