data,best_n_components,best_r,log_likelihood_mean,log_likelihood_standard_deviation,,clt_train,clt_test,,best_n_components,log_likelihood_mean,log_likelihood_standard_deviation
plants.ts.data,20,1000,-15.65090442,0.033460127,,-16.22241961,-16.52401504,,20,-13.36424591,0.032024876
jester.ts.data,20,2000,-57.18885652,0.018452866,,-58.19453338,-58.22653194,,20,-53.11359036,0.037533961
pumsb_star.ts.data,2,100,-30.82307912,0.025204634,,-30.82360635,-30.80704844,,20,-23.90365291,0.083594797
tretail.ts.data,5,2000,-10.96433642,0.007234131,,-10.81023755,-10.94654478,,2,-10.86843389,0.017330514
msnbc.ts.data,20,100,-6.559129292,0.006071342,,-6.578434133,-6.578954659,,20,-6.425636866,0.005140974
bnetflix.ts.data,20,2000,-59.59296786,0.016716655,,-60.14680379,-60.25034595,,20,-56.84197715,0.034898991
baudio.ts.data,20,2000,-43.46765211,0.018219271,,-44.25205757,-44.37490222,,20,-40.24376952,0.013356107
nltcs.ts.data,20,100,-6.618785038,0.014883514,,-6.768236302,-6.775771983,,20,-6.667768017,0.02489416
kdd.ts.data,20,2000,-2.220825576,0.00276694,,-2.529006993,-2.295661239,,20,-2.26402871,0.00244048
accidents.ts.data,20,100,-33.22120515,0.015760313,,-33.02869131,-33.18811043,,20,-29.8897095,0.038226119
